id,name,type,address,locality,region,postalCode,lat,lon,geocode_source,updated_at
544eabea-899f-4ca4-aa1d-1e28c5681c47,The Glamping Village at Westport Estate ,Fáilte Ireland's Welcome Standard,Westport Estate Glamping Village,Westport,Mayo,F28 TY45,,,,2026-03-30T12:39:46.152229
b236fbb6-3899-4498-bb99-011654ed8edf,The Courtyard Mews at Longueville House,Fáilte Ireland's Welcome Standard,Longueville House,Mallow,Cork,P51 KC8K,,,,2026-03-30T12:40:02.797433
f1d499c8-3375-46f6-8612-550ca3b4c495,Elfin Cottage,Fáilte Ireland's Welcome Standard,Cronagort,Doolin,Clare,V95 H0XD,,,,2026-03-30T12:40:18.225078
f8dfd23a-17cb-471d-a9b2-7076c0b811de,Russells Cottage,Fáilte Ireland's Welcome Standard,Russells Cottage,Doonnagore,Clare,V95 PD00,,,,2026-03-30T12:40:33.668865
d1eb98dd-0179-4dbe-abff-ac9d021b9919,Storytellers Cottage,Fáilte Ireland's Welcome Standard,Luogh South,Doolin,Clare,V95 E4H1,,,,2026-03-30T12:40:47.491408
80926571-eaf9-477d-b880-95e21292b019,Bungalow in Blarney,Fáilte Ireland's Welcome Standard,12 Sunberry Heights,Blarney,Cork,T23 YF58,,,,2026-03-30T12:41:04.017135
39fbbe46-4cba-4df3-888c-56eb06e488a9,O'Regan's,Fáilte Ireland's Welcome Standard,26 South Great George's Street,Dublin 2,Dublin,D02 A395,,,,2026-03-30T12:41:19.875284
c42eb6b7-ab08-490c-8eb7-fa0a1c10b48b,Grouse Lodge ,Fáilte Ireland's Welcome Standard,Grouse Lodge,Rosemount,Westmeath,N37 N974,,,,2026-03-30T12:41:34.725477
55aacf55-504b-487f-a94f-8c852d940f90,Shamrock Stay Blarney,Fáilte Ireland's Welcome Standard,17 Shamrock Terrace,Blarney,Cork,T23 F29T,,,,2026-03-30T12:41:50.818146
dc87b7d7-0b0e-4c11-863a-bf472aeb9840,Saltcliff Cottage ,Fáilte Ireland's Welcome Standard,Lough South,Doolin,Clare,V95 WF38,,,,2026-03-30T12:42:06.500592
99e4e584-6e21-41f0-93ff-c244a70c64fc,Wild Hideaways,Fáilte Ireland's Welcome Standard,Laharanshermeen,Bantry,Cork,P75 P599,,,,2026-03-30T12:42:23.491715
8d6c546e-6999-4be6-8693-c6a7eec49b75,Oranmore Castle,Fáilte Ireland's Welcome Standard,"Oranmore castle, Oranmore",Galway,Galway,H91 TFT6,,,,2026-03-30T12:42:39.576233
73056730-33a2-47ab-a9e1-ffed87c4f7b1,Tankardstown Hospitality ,Holiday Cottage,"Tankardstown Estate, Rathkenny",Slane,Meath,C15 D535,,,,2026-03-30T12:42:56.490113
b9bff45b-0bae-471c-a4d3-cea940d93bb8,Druids Glen Hotel & Golf Resort,Hotel,Druids Glen,Newtownmountkennedy,Wicklow,A63 DW08,,,,2026-03-30T12:43:11.509036
f24f21ff-48a9-4038-924a-8550cafca2bf,Glenview Hotel,Hotel,Glen of the Downs,Wicklow,Wicklow,A63 DC95,,,,2026-03-30T12:43:25.257248
1d29cc5b-bb86-4b8a-8e1e-7232407cfa03,The Western Hotel,Hotel,33 Prospect Hill,Galway city,Galway,H91 Y3FA,,,,2026-03-30T12:43:39.888473
