event_name,start_date,end_date,venue,latitude,longitude,region
Ballydehob Traditional Music Festival 2026,2026-03-27T00:00:00Z,2026-03-29T00:00:00Z,Ballydehob,51.5611066,-9.4595573,Cork
Cairde Sligo Arts Festival 2026,2026-07-04T00:00:00Z,2026-07-11T00:00:00Z,Sligo,54.2775969,-8.4715258,Sligo
Cork International Choral Festival 2026,2026-04-29T00:00:00Z,2026-05-03T00:00:00Z,Cork City Hall,51.89726479999999,-8.465495199999998,Cork
Earagail Arts Festival,2026-07-10T00:00:00Z,2026-07-25T00:00:00Z,Various locations throughout Co Donegal,54.9533201,-7.7287972,Donegal
Gaelforce Great Fjord Swim,2026-09-12T00:00:00Z,2026-09-12T00:00:00Z,Killary Adventure Company,53.5927404,-9.768690999999999,Galway
Gaelforce Great River Swim,2026-05-16T00:00:00Z,2026-05-16T00:00:00Z,Lanesborough,53.67245459999999,-7.9863962,Longford
Galtee Challenge 2026,2026-06-27T00:00:00Z,2026-06-27T00:00:00Z,Anglesborough,52.34030569999999,-8.2895418,Limerick
Rose of Tralee International Festival 2026,2026-08-14T00:00:00Z,2026-08-18T00:00:00Z,Rose of Tralee International Festival,52.266929,-9.706377,
St Brendan the Navigator Community Festival 2026,2026-05-14T00:00:00Z,2026-05-17T00:00:00Z,Fenit,52.2784045,-9.861211400000002,Kerry
The Brandon Bay Run 2026,2026-07-18T00:00:00Z,2026-07-18T00:00:00Z,The Brandon Bay Run,52.2991965,-10.0381391,Kerry
The Dead by James Joyce,2026-11-20T00:00:00Z,2027-01-31T00:00:00Z,"UCD Newman House, 85 St Stephen's Green",53.3368138,-6.2598119,Dublin
Westport Folk & Bluegrass Festival 2026,2026-06-04T00:00:00Z,2026-06-07T00:00:00Z,Westport,53.8011456,-9.5222281,Mayo
DoDublin Hop-on Hop-off & EPIC The Irish Emigration Museum Combo Deal,2025-10-24T00:00:00Z,2026-03-31T00:00:00Z,59 O'Connell Street Upper,53.3505109,-6.2609885,Dublin
Fastnet Film Festival,2026-05-20T00:00:00Z,2026-05-24T00:00:00Z,Fastnet Film Centre,51.5279653,-9.5452174,Cork
Waterford St. Patrick's Festival ,2026-03-13T00:00:00Z,2026-03-17T00:00:00Z,Waterford City,52.2572983,-7.1115235,Waterford
AIB Portrait Prize 2025,2025-11-08T00:00:00Z,2026-03-15T00:00:00Z,National Gallery of Ireland,53.3408887,-6.2522962,Dublin
Gaelforce Great Lake Swim,2026-07-11T00:00:00Z,2026-07-11T00:00:00Z,Portumna Swimming Area,53.0835342,-8.2110061,Galway
Consairtín,2026-04-09T00:00:00Z,2026-04-12T00:00:00Z,Inis,52.8470321,-8.9883123,
Live Aid Exhibition,2025-11-11T00:00:00Z,2026-03-31T00:00:00Z,National Photographic Archive,53.3453111,-6.265425,Dublin
EcoTrail Wicklow 2026,2026-09-24T00:00:00Z,2026-09-26T00:00:00Z,Bray,53.2010587,-6.1110501,Wicklow
The Fade Street Market,2025-11-23T00:00:00Z,2026-03-29T00:00:00Z,The Market Bar,53.3421058,-6.264002899999999,Dublin
Galway International Arts Festival 2026,2026-07-13T00:00:00Z,2026-07-26T00:00:00Z,Galway City,53.27056400000001,-9.0566819,Galway
"Dún Laoghaire Walking Tours, The Dublin Riviera",2025-12-06T00:00:00Z,2026-10-31T00:00:00Z,"Meeting Place: Harbour Plaza, Dún Laoghaire",53.29491460000001,-6.1337385,Dublin
Conversations on a Homecoming,2026-03-12T00:00:00Z,2026-03-14T00:00:00Z,Backstage Theatre,53.7154691,-7.7996269,Longford
The Witch Who Couldn’t Sleep,2026-03-19T00:00:00Z,2026-03-19T00:00:00Z,Backstage Theatre,53.7154691,-7.7996269,Longford
Before,2026-03-25T00:00:00Z,2026-03-25T00:00:00Z,Backstage Theatre,53.7154691,-7.7996269,Longford
Conal Gallen – The Last Laugh Tour,2026-03-26T00:00:00Z,2026-03-26T00:00:00Z,Backstage Theatre,53.7154691,-7.7996269,Longford
The Man In The Woman’s Shoes,2026-04-01T00:00:00Z,2026-04-01T00:00:00Z,Backstage Theatre,53.7154691,-7.7996269,Longford
Padraig Jack,2026-04-11T00:00:00Z,2026-04-11T00:00:00Z,Backstage Theatre,53.7154691,-7.7996269,Longford
CISEACH,2026-04-18T00:00:00Z,2026-04-18T00:00:00Z,Backstage Theatre,53.7154691,-7.7996269,Longford
Red Line Comedy Club,2026-04-25T00:00:00Z,2026-04-25T00:00:00Z,Backstage Theatre,53.7154691,-7.7996269,Longford
Little Folk – On The Road,2026-05-23T00:00:00Z,2026-05-23T00:00:00Z,Backstage Theatre,53.7154691,-7.7996269,Longford
The Kings of the Kilburn High Road,2026-06-18T00:00:00Z,2026-06-18T00:00:00Z,Backstage Theatre,53.7154691,-7.7996269,Longford
National Circus Festival of Ireland,2026-11-05T00:00:00Z,2026-11-08T00:00:00Z,Siamsa Tíre - Theatre & Arts Centre,52.2666168,-9.7083368,Kerry
Aoife Dunne - Good Grief,2026-05-22T00:00:00Z,2026-05-22T00:00:00Z,The Spirit Store,54.0089765,-6.3900726,Louth
Aoife Dunne - Good Grief,2026-05-08T00:00:00Z,2026-05-08T00:00:00Z,Gleneagle Arena (INEC),52.044466,-9.502486,Kerry
Aoife Dunne : Good Grief,2026-05-01T00:00:00Z,2026-05-01T00:00:00Z,Westport Town Hall Theatre,53.7992862,-9.5241987,Mayo
Aoife Dunne: Good Grief,2026-04-19T00:00:00Z,2026-04-19T00:00:00Z,Olympia Theatre,53.344278,-6.266111,Dublin
Aoife Dunne: Good Grief,2026-04-18T00:00:00Z,2026-04-18T00:00:00Z,"The Everyman, Cork",51.90139749999999,-8.4683464,Cork
Aoife Dunne: Good Grief,2026-03-21T00:00:00Z,2026-03-21T00:00:00Z,Town Hall Theatre,53.2761611,-9.0540556,Galway
Aoife Dunne - Good Grief,2026-03-20T00:00:00Z,2026-03-20T00:00:00Z,Set Theatre,52.65304210000001,-7.2484311,Kilkenny
Leopardstown Christmas Festival - Savills Chase Day,2025-12-28T00:00:00Z,2025-12-28T00:00:00Z,Leopardstown Racecourse,53.26553639999999,-6.1954455,Dublin
Trygve Seim & Tord Gustavsen: Inner Chorals,2026-10-25T00:00:00Z,2026-10-25T00:00:00Z,Triskel Arts Centre,51.8973901,-8.476346399999999,Cork
Music Network present the Shuteen Erdenebaatar Quartet,2026-06-20T00:00:00Z,2026-06-20T00:00:00Z,Triskel Arts Centre,51.8973901,-8.476346399999999,Cork
Nils Petter Molvær Group,2026-04-03T00:00:00Z,2026-04-03T00:00:00Z,Triskel Arts Centre,51.8973901,-8.476346399999999,Cork
Marc Copland Quartet feat Robin Verheyen,2026-03-20T00:00:00Z,2026-03-20T00:00:00Z,Triskel Arts Centre,51.8973901,-8.476346399999999,Cork
Solas Quartet: Spring String Quartet Series 2026,2026-04-11T00:00:00Z,2026-04-11T00:00:00Z,Triskel Arts Centre,51.8973901,-8.476346399999999,Cork
Rockathon,2026-05-29T00:00:00Z,2026-05-31T00:00:00Z,Rocakthon at Fairyhouse Racecourse,53.4842453,-6.467504,Meath
James Joyce Walking Tour,2026-01-08T00:00:00Z,2026-12-12T00:00:00Z,James Joyce Centre,53.3541941,-6.259980499999999,Dublin
Cavan Arts Festival,2026-05-14T00:00:00Z,2026-05-17T00:00:00Z,Cavan Town Hall,53.991125,-7.3621779,Cavan
Killeshandra Camino Calling,2026-06-20T00:00:00Z,2026-06-20T00:00:00Z,Killeshandra Community Hall,54.0135181,-7.529661299999999,Cavan
Irish Chili Festival,2026-06-27T00:00:00Z,2026-06-28T00:00:00Z,Marina Market,51.89894839999999,-8.451922099999999,Cork
Brendan Kelly Band,2026-03-21T00:00:00Z,2026-03-21T00:00:00Z,Backstage Theatre,53.7154691,-7.7996269,Longford
Philomena Begley & Ray Lynam,2026-04-10T00:00:00Z,2026-04-10T00:00:00Z,Backstage Theatre,53.7154691,-7.7996269,Longford
The Piano Man,2026-04-23T00:00:00Z,2026-04-23T00:00:00Z,Backstage Theatre,53.7154691,-7.7996269,Longford
Legends Of The 60's Show,2026-05-07T00:00:00Z,2026-05-07T00:00:00Z,Backstage Theatre,53.7154691,-7.7996269,Longford
Legends of American Country Show,2026-05-22T00:00:00Z,2026-05-22T00:00:00Z,Backstage Theatre,53.7154691,-7.7996269,Longford
The Ultimate Bubble Show,2026-06-13T00:00:00Z,2026-06-13T00:00:00Z,Backstage Theatre,53.7154691,-7.7996269,Longford
The Love Hungry Farmer,2026-09-12T00:00:00Z,2026-09-12T00:00:00Z,Backstage Theatre,53.7154691,-7.7996269,Longford
Don Baker – My Story Tour 2026,2026-09-18T00:00:00Z,2026-09-18T00:00:00Z,Backstage Theatre,53.7154691,-7.7996269,Longford
Artist-Initiated Projects 2026,2026-01-21T00:00:00Z,2026-12-12T00:00:00Z,Pallas Projects/Studios,53.3389205,-6.2745307,Dublin
Elinor O’Donovan: Winter Sun,2025-12-21T00:00:00Z,2026-04-30T00:00:00Z,Triskel Arts Centre,51.8973901,-8.476346399999999,Cork
Fishamble presents SILENT by Pat Kinevane,2026-03-12T00:00:00Z,2026-03-12T00:00:00Z,The Civic Theatre,53.2883772,-6.372191,Dublin
The King of All Birds,2026-02-25T00:00:00Z,2026-02-26T00:00:00Z,The Civic Theatre,53.2883772,-6.372191,Dublin
Simon Yates – Pleasure & Pain,2026-04-20T00:00:00Z,2026-04-20T00:00:00Z,The Civic Theatre,53.2883772,-6.372191,Dublin
Cork Comic Con 2026,2026-10-03T00:00:00Z,2026-10-04T00:00:00Z,Marina Market,51.89894839999999,-8.451922099999999,Cork
Bealtaine Fire Festival 2026,2026-05-09T00:00:00Z,2026-05-10T00:00:00Z,The Hill of Uisneach,53.4871893,-7.564556000000001,Westmeath
Cape Clear Island Races,2026-08-29T00:00:00Z,2026-08-29T00:00:00Z,Cape Clear Island,51.4387985,-9.4922606,Cork
Daily Lough Ree & River Shannon Cruise,2026-03-28T00:00:00Z,2026-10-31T00:00:00Z,Viking Tours Ireland,53.4233926,-7.9423094,Westmeath
Nourish & Flow Festival,2026-08-14T00:00:00Z,2026-08-16T00:00:00Z,Ballykilcavan Brewery,53.0165403,-7.117371299999999,Laois
The Drifter Tribute Show,2026-04-10T00:00:00Z,2026-04-10T00:00:00Z,Courtmacsherry Hotel,51.63319070000001,-8.6994987,Cork
The House Must Win,2026-05-06T00:00:00Z,2026-05-16T00:00:00Z,The Everyman,51.90139749999999,-8.4683464,Cork
The Skellig Coast Dark Skies Cruise by Starlight Sea Cruise,2026-03-20T00:00:00Z,2026-03-21T00:00:00Z,"Knightstown, Valentia Island",51.9256611,-10.2909282,Kerry
Tuesdays with Morrie,2026-03-26T00:00:00Z,2026-03-28T00:00:00Z,The Everyman,51.90139749999999,-8.4683464,Cork
Tullamore TradFest,2026-03-27T00:00:00Z,2026-03-29T00:00:00Z,Tullamore,53.2752768,-7.4924439,Offaly
Van Gogh - An Immersive Journey,2026-01-16T00:00:00Z,2026-03-20T00:00:00Z,Dream Point Experience,53.3492451,-6.2275447,Dublin
Wander Wild Festival 2026,2026-04-17T00:00:00Z,2026-04-19T00:00:00Z,Killarney National Park,52.02099,-9.506639999999999,Kerry
