event_name,event_lat,event_lon,stop_id,stop_name,stop_lat,stop_lon,distance,start_date,end_date,estimated_passengers,distance_weight,demand_score
Ballydehob Traditional Music Festival 2026,51.5611066,-9.4595573,8380B215561,Ballydehob,51.562708,-9.46036,0.0017913149499722,2026-03-27T00:00:00Z,2026-03-29T00:00:00Z,2000,358.25409096524896,716508.1819304979
Cairde Sligo Arts Festival 2026,54.2775969,-8.4715258,8510B5249601,Saint John's Hospital,54.279904,-8.470171,0.0026754800410417,2026-07-04T00:00:00Z,2026-07-11T00:00:00Z,2000,272.0733043938884,544146.6087877768
Cork International Choral Festival 2026,51.89726479999999,-8.465495199999998,8370B2368501,Eglinton Street,51.8973101961011,-8.46486263403884,0.0006341927949863,2026-04-29T00:00:00Z,2026-05-03T00:00:00Z,2000,611.9229035080793,1223845.8070161587
Earagail Arts Festival,54.9533201,-7.7287972,8530B1558401,Letterkenny Bus Station,54.95372,-7.72844,0.0005362013148046,2026-07-10T00:00:00Z,2026-07-25T00:00:00Z,2000,650.9563495115202,1301912.6990230405
Gaelforce Great Fjord Swim,53.5927404,-9.768691,8470B534731,Derrynacleigh,53.594405,-9.76828,0.0017145886270522,2026-09-12T00:00:00Z,2026-09-12T00:00:00Z,500,368.3799416362804,184189.97081814022
Gaelforce Great River Swim,53.67245459999999,-7.9863962,8290B553421,Lanesborough,53.672425,-7.988831,0.002434979917782,2026-05-16T00:00:00Z,2026-05-16T00:00:00Z,500,291.1225171428978,145561.25857144888
Galtee Challenge 2026,52.34030569999999,-8.2895418,8410B3301401,Galbally,52.401479,-8.296166,0.0615309081562407,2026-06-27T00:00:00Z,2026-06-27T00:00:00Z,500,15.992091423034902,7996.04571151745
Rose of Tralee International Festival 2026,52.266929,-9.706377,8390LL11011,Tralee Denny Street,52.266861,-9.706379,6.802940540563527e-05,2026-08-14T00:00:00Z,2026-08-18T00:00:00Z,2000,936.3038086205146,1872607.6172410292
St Brendan the Navigator Community Festival 2026,52.2784045,-9.861211400000002,8390B6371101,Fenit,52.2770740421477,-9.86342193225829,0.002580033131895,2026-05-14T00:00:00Z,2026-05-17T00:00:00Z,2000,279.3270238453562,558654.0476907125
The Brandon Bay Run 2026,52.2991965,-10.0381391,8390B6365701,Castlegregory,52.252328,-10.021411,0.0497643006768929,2026-07-18T00:00:00Z,2026-07-18T00:00:00Z,500,19.69888261368651,9849.441306843255
The Dead by James Joyce,53.3368138,-6.2598119,8220DB007996,Saint Stephen's Green South,53.337264,-6.261751,0.0019906754758116,2026-11-20T00:00:00Z,2027-01-31T00:00:00Z,500,334.37262186684535,167186.31093342268
Westport Folk & Bluegrass Festival 2026,53.8011456,-9.5222281,8490B5557101,Westport,53.798649,-9.520623,0.002968056193875,2026-06-04T00:00:00Z,2026-06-07T00:00:00Z,2000,252.0125600901461,504025.12018029223
DoDublin Hop-on Hop-off & EPIC The Irish Emigration Museum Combo Deal,53.3505109,-6.2609885,8220DB000274,O'Connell Street Upper,53.3503490838222,-6.26072086862175,0.000312747549986,2025-10-24T00:00:00Z,2026-03-31T00:00:00Z,500,761.7610865171027,380880.5432585514
Fastnet Film Festival,51.5279653,-9.5452174,8380B215591,Schull,51.52704,-9.54757,0.0025280242977467,2026-05-20T00:00:00Z,2026-05-24T00:00:00Z,2000,283.44475990108293,566889.5198021659
Waterford St. Patrick's Festival ,52.2572983,-7.1115235,8440B352271,John Street,52.2570082869854,-7.11123375130605,0.0004099534781928,2026-03-13T00:00:00Z,2026-03-17T00:00:00Z,2000,709.2432590625219,1418486.518125044
AIB Portrait Prize 2025,53.3408887,-6.2522962,8220DB000494,Clare Street,53.3414355833565,-6.25168225233917,0.0008222001799163,2025-11-08T00:00:00Z,2026-03-15T00:00:00Z,500,548.787126146554,274393.563073277
Gaelforce Great Lake Swim,53.0835342,-8.2110061,8470B1359802,Portumna,53.09161,-8.22147,0.0132178571958542,2026-07-11T00:00:00Z,2026-07-11T00:00:00Z,500,70.33408665066568,35167.043325332845
Consairtín,52.8470321,-8.9883123,8360B603361,Harmony Row,52.8463856514735,-8.98580443363775,0.0025898435065321,2026-04-09T00:00:00Z,2026-04-12T00:00:00Z,500,278.5636750405398,139281.8375202699
Live Aid Exhibition,53.3453111,-6.265425,8220DB000312,Wellington Quay,53.3454764728264,-6.2662061554843,0.0007984685731835,2025-11-11T00:00:00Z,2026-03-31T00:00:00Z,500,556.0286206335443,278014.31031677214
EcoTrail Wicklow 2026,53.2010587,-6.1110501,8350DB004171,Kilmantain Park,53.200509,-6.111505,0.0007135153116793,2026-09-24T00:00:00Z,2026-09-26T00:00:00Z,500,583.5956020842136,291797.8010421068
The Fade Street Market,53.3421058,-6.264002899999999,8220DB001282,South Great George's Street,53.342342,-6.264501,0.0005512658614526,2025-11-23T00:00:00Z,2026-03-29T00:00:00Z,500,644.6348268526991,322317.4134263496
Galway International Arts Festival 2026,53.27056400000001,-9.0566819,8460B5220101,Spanish Arch,53.27036,-9.05466,0.0020321652516467,2026-07-13T00:00:00Z,2026-07-26T00:00:00Z,2000,329.7973286439196,659594.6572878392
"Dún Laoghaire Walking Tours, The Dublin Riviera",53.29491460000001,-6.1337385,8250IR0124,Dun Laoghaire (Mallin),53.294776,-6.134575,0.0008479045995889,2025-12-06T00:00:00Z,2026-10-31T00:00:00Z,500,541.1534774157,270576.73870785
Conversations on a Homecoming,53.7154691,-7.7996269,8290IR0072,Longford,53.724079,-7.796346,0.0092138310609678,2026-03-12T00:00:00Z,2026-03-14T00:00:00Z,500,97.90645586664385,48953.22793332193
The Witch Who Couldn’t Sleep,53.7154691,-7.7996269,8290IR0072,Longford,53.724079,-7.796346,0.0092138310609678,2026-03-19T00:00:00Z,2026-03-19T00:00:00Z,500,97.90645586664385,48953.22793332193
Before,53.7154691,-7.7996269,8290IR0072,Longford,53.724079,-7.796346,0.0092138310609678,2026-03-25T00:00:00Z,2026-03-25T00:00:00Z,500,97.90645586664385,48953.22793332193
Conal Gallen – The Last Laugh Tour,53.7154691,-7.7996269,8290IR0072,Longford,53.724079,-7.796346,0.0092138310609678,2026-03-26T00:00:00Z,2026-03-26T00:00:00Z,500,97.90645586664385,48953.22793332193
The Man In The Woman’s Shoes,53.7154691,-7.7996269,8290IR0072,Longford,53.724079,-7.796346,0.0092138310609678,2026-04-01T00:00:00Z,2026-04-01T00:00:00Z,500,97.90645586664385,48953.22793332193
Padraig Jack,53.7154691,-7.7996269,8290IR0072,Longford,53.724079,-7.796346,0.0092138310609678,2026-04-11T00:00:00Z,2026-04-11T00:00:00Z,500,97.90645586664385,48953.22793332193
CISEACH,53.7154691,-7.7996269,8290IR0072,Longford,53.724079,-7.796346,0.0092138310609678,2026-04-18T00:00:00Z,2026-04-18T00:00:00Z,500,97.90645586664385,48953.22793332193
Red Line Comedy Club,53.7154691,-7.7996269,8290IR0072,Longford,53.724079,-7.796346,0.0092138310609678,2026-04-25T00:00:00Z,2026-04-25T00:00:00Z,500,97.90645586664385,48953.22793332193
Little Folk – On The Road,53.7154691,-7.7996269,8290IR0072,Longford,53.724079,-7.796346,0.0092138310609678,2026-05-23T00:00:00Z,2026-05-23T00:00:00Z,500,97.90645586664385,48953.22793332193
The Kings of the Kilburn High Road,53.7154691,-7.7996269,8290IR0072,Longford,53.724079,-7.796346,0.0092138310609678,2026-06-18T00:00:00Z,2026-06-18T00:00:00Z,500,97.90645586664385,48953.22793332193
National Circus Festival of Ireland,52.2666168,-9.7083368,8390B635851,Tralee Prince's Street,52.266953,-9.709685,0.0013894868405283,2026-11-05T00:00:00Z,2026-11-08T00:00:00Z,2000,418.49989840450695,836999.7968090139
Aoife Dunne - Good Grief,54.0089765,-6.3900726,8300PB14641,Saint Gerard's Square,54.00693,-6.38752,0.0032716859583434,2026-05-22T00:00:00Z,2026-05-22T00:00:00Z,500,234.09960604590168,117049.80302295084
Aoife Dunne - Good Grief,54.0089765,-6.3900726,8300PB14641,Saint Gerard's Square,54.00693,-6.38752,0.0032716859583434,2026-05-08T00:00:00Z,2026-05-08T00:00:00Z,500,234.09960604590168,117049.80302295084
Aoife Dunne - Good Grief,54.0089765,-6.3900726,8300PB14641,Saint Gerard's Square,54.00693,-6.38752,0.0032716859583434,2026-03-20T00:00:00Z,2026-03-20T00:00:00Z,500,234.09960604590168,117049.80302295084
Aoife Dunne - Good Grief,52.044466,-9.502486,839000124,Gleneagle Hotel,52.0440401554159,-9.50267484856799,0.0004658405214659,2026-05-22T00:00:00Z,2026-05-22T00:00:00Z,500,682.202453374641,341101.2266873205
Aoife Dunne - Good Grief,52.044466,-9.502486,839000124,Gleneagle Hotel,52.0440401554159,-9.50267484856799,0.0004658405214659,2026-05-08T00:00:00Z,2026-05-08T00:00:00Z,500,682.202453374641,341101.2266873205
Aoife Dunne - Good Grief,52.044466,-9.502486,839000124,Gleneagle Hotel,52.0440401554159,-9.50267484856799,0.0004658405214659,2026-03-20T00:00:00Z,2026-03-20T00:00:00Z,500,682.202453374641,341101.2266873205
Aoife Dunne : Good Grief,53.7992862,-9.5241987,8490B5557101,Westport,53.798649,-9.520623,0.0036320317082856,2026-05-01T00:00:00Z,2026-05-01T00:00:00Z,500,215.88798673619578,107943.99336809789
Aoife Dunne: Good Grief,53.344278,-6.266111,8220DB001934,Dame Street,53.344118,-6.265525,0.000607450409499,2026-04-19T00:00:00Z,2026-04-19T00:00:00Z,500,622.1031728821256,311051.5864410628
Aoife Dunne: Good Grief,53.344278,-6.266111,8220DB001934,Dame Street,53.344118,-6.265525,0.000607450409499,2026-04-18T00:00:00Z,2026-04-18T00:00:00Z,500,622.1031728821256,311051.5864410628
Aoife Dunne: Good Grief,53.344278,-6.266111,8220DB001934,Dame Street,53.344118,-6.265525,0.000607450409499,2026-03-21T00:00:00Z,2026-03-21T00:00:00Z,500,622.1031728821256,311051.5864410628
Aoife Dunne: Good Grief,51.90139749999999,-8.4683464,8370B11054,Cork Saint Patrick's Quay,51.900672,-8.467164,0.0013872346629103,2026-04-19T00:00:00Z,2026-04-19T00:00:00Z,500,418.89472180371695,209447.36090185848
Aoife Dunne: Good Grief,51.90139749999999,-8.4683464,8370B11054,Cork Saint Patrick's Quay,51.900672,-8.467164,0.0013872346629103,2026-04-18T00:00:00Z,2026-04-18T00:00:00Z,500,418.89472180371695,209447.36090185848
Aoife Dunne: Good Grief,51.90139749999999,-8.4683464,8370B11054,Cork Saint Patrick's Quay,51.900672,-8.467164,0.0013872346629103,2026-03-21T00:00:00Z,2026-03-21T00:00:00Z,500,418.89472180371695,209447.36090185848
Aoife Dunne: Good Grief,53.2761611,-9.0540556,8460B5230201,Saint Francis Street,53.27531,-9.053806,0.000886944964476,2026-04-19T00:00:00Z,2026-04-19T00:00:00Z,500,529.9571629412612,264978.5814706306
