event_name,event_lat,event_lon,stop_id,stop_name,stop_lat,stop_lon,distance
Ballydehob Traditional Music Festival 2026,51.5611066,-9.4595573,8380B215561,Ballydehob,51.562708,-9.46036,0.0017913149499722608
Cairde Sligo Arts Festival 2026,54.2775969,-8.4715258,8510B5249601,Saint John's Hospital,54.279904,-8.470171,0.0026754800410417807
Cork International Choral Festival 2026,51.89726479999999,-8.465495199999998,8370B2368501,Eglinton Street,51.8973101961011,-8.46486263403884,0.0006341927949863489
Earagail Arts Festival,54.9533201,-7.7287972,8530B1558401,Letterkenny Bus Station,54.95372,-7.72844,0.000536201314804619
Gaelforce Great Fjord Swim,53.5927404,-9.768691,8470B534731,Derrynacleigh,53.594405,-9.76828,0.001714588627052222
Gaelforce Great River Swim,53.67245459999999,-7.9863962,8290B553421,Lanesborough,53.672425,-7.988831,0.0024349799177820646
Galtee Challenge 2026,52.34030569999999,-8.2895418,8410B3301401,Galbally,52.401479,-8.296166,0.06153090815624079
Rose of Tralee International Festival 2026,52.266929,-9.706377,8390LL11011,Tralee Denny Street,52.266861,-9.706379,6.802940540563527e-05
St Brendan the Navigator Community Festival 2026,52.2784045,-9.861211400000002,8390B6371101,Fenit,52.2770740421477,-9.86342193225829,0.002580033131895024
The Brandon Bay Run 2026,52.2991965,-10.0381391,8390B6365701,Castlegregory,52.252328,-10.021411,0.0497643006768929
The Dead by James Joyce,53.3368138,-6.2598119,8220DB007996,Saint Stephen's Green South,53.337264,-6.261751,0.0019906754758116586
Westport Folk & Bluegrass Festival 2026,53.8011456,-9.5222281,8490B5557101,Westport,53.798649,-9.520623,0.002968056193875042
DoDublin Hop-on Hop-off & EPIC The Irish Emigration Museum Combo Deal,53.3505109,-6.2609885,8220DB000274,O'Connell Street Upper,53.3503490838222,-6.26072086862175,0.0003127475499860246
Fastnet Film Festival,51.5279653,-9.5452174,8380B215591,Schull,51.52704,-9.54757,0.00252802429774671
Waterford St. Patrick's Festival ,52.2572983,-7.1115235,8440B352271,John Street,52.2570082869854,-7.11123375130605,0.0004099534781928397
AIB Portrait Prize 2025,53.3408887,-6.2522962,8220DB000494,Clare Street,53.3414355833565,-6.25168225233917,0.0008222001799163722
Gaelforce Great Lake Swim,53.0835342,-8.2110061,8470B1359802,Portumna,53.09161,-8.22147,0.013217857195854209
Consairtín,52.8470321,-8.9883123,8360B603361,Harmony Row,52.8463856514735,-8.98580443363775,0.002589843506532194
Live Aid Exhibition,53.3453111,-6.265425,8220DB000312,Wellington Quay,53.3454764728264,-6.2662061554843,0.0007984685731835326
EcoTrail Wicklow 2026,53.2010587,-6.1110501,8350DB004171,Kilmantain Park,53.200509,-6.111505,0.0007135153116793149
The Fade Street Market,53.3421058,-6.264002899999999,8220DB001282,South Great George's Street,53.342342,-6.264501,0.0005512658614526
Galway International Arts Festival 2026,53.27056400000001,-9.0566819,8460B5220101,Spanish Arch,53.27036,-9.05466,0.0020321652516467332
