stop_id,vehicle_count,congestion_score
701000002,2,20
7010B158131,2,20
7010B158241,2,20
821000019,2,20
821000020,2,20
8210B202101,2,20
8210B3355701,4,40
8210B3355702,4,40
8210CO11094,4,40
8210CO11095,4,40
8210CO11096,4,40
8210CO11097,4,40
8210CO11098,2,20
8210CO11099,2,20
8210CO11114,2,20
8210CO11115,2,20
8210CO11117,4,40
8210CO11118,4,40
8210CO11119,4,40
8210CO11132,2,20
8210CO11151,2,20
8210CO11159,2,20
8210IR0002,2,20
8210PB000017,4,40
8220000002,10,100
8220000150,106,1060
8220000357,42,420
8220000372,10,100
8220000386,4,40
8220000413,106,1060
8220000414,106,1060
8220000441,106,1060
822008206,6,60
822008208,6,60
82202B008257,2,20
8220B007612,26,260
8220B008367,2,20
8220B1000401,26,260
8220B100111,26,260
8220B100461,6,60
8220B1009001,2,20
8220B1011301,2,20
8220B1011501,4,40
8220B1021101,106,1060
8220B1046101,26,260
8220B106421,10,100
8220B10995,8,80
8220B111761,26,260
8220B111771,106,1060
8220B134961,42,420
8220B135001,42,420
8220B1350201,8,80
8220B1350301,42,420
8220B1351001,106,1060
8220B1351101,42,420
8220B1351201,42,420
8220B1351401,42,420
8220B1352701,42,420
8220B1353101,12,120
8220B1353301,48,480
8220B1353501,106,1060
8220B1354001,8,80
8220B135411,12,120
8220B1354201,8,80
8220B211521,26,260
8220B3551501,2,20
8220CO10995,8,80
8220CO10996,8,80
8220DB000002,106,1060
8220DB000003,106,1060
8220DB000005,106,1060
8220DB000006,106,1060
8220DB000007,106,1060
8220DB000008,34,340
8220DB000010,34,340
8220DB000011,26,260
8220DB000012,26,260
8220DB000014,26,260
8220DB000015,26,260
8220DB000016,6,60
8220DB000017,26,260
8220DB000018,2,20
8220DB000019,2,20
8220DB000021,6,60
8220DB000022,6,60
8220DB000023,2,20
8220DB000027,8,80
8220DB000028,8,80
8220DB000029,8,80
8220DB000030,2,20
8220DB000031,2,20
8220DB000032,2,20
8220DB000033,2,20
8220DB000035,2,20
8220DB000036,2,20
8220DB000037,8,80
8220DB000038,8,80
8220DB000039,8,80
8220DB000042,2,20
8220DB000043,6,60
8220DB000044,6,60
8220DB000045,6,60
8220DB000046,2,20
8220DB000047,26,260
8220DB000048,26,260
8220DB000049,26,260
8220DB000051,26,260
8220DB000052,26,260
8220DB000053,26,260
8220DB000054,14,140
8220DB000055,14,140
8220DB000056,4,40
8220DB000057,4,40
8220DB000058,4,40
8220DB000059,4,40
8220DB000060,10,100
8220DB000063,2,20
8220DB000064,2,20
8220DB000065,2,20
8220DB000066,2,20
8220DB000068,2,20
8220DB000069,2,20
8220DB000071,2,20
8220DB000072,2,20
